study,species,response,n_C,n_E,d,taxa,class,response_no,taxa_num
Rantalainen et al. 2005,Collembolla  Oribatida & Mesostigmata,Abundance (20 cmý),8,8,-0.037,invertebrate,2,9,2
Rantalainen et al. 2005,Collembolla  Oribatida & Mesostigmata,Abundance (200 cmý),8,8,0.226,invertebrate,2,10,2
Roberts & Angermeier 2007,Etheostoma podostemone,Proportion individuals moved,4,4,2.216,nonavian vertebrate,2,1,4
Roberts & Angermeier 2007,Percina roanoka,Proportion individuals moved,4,4,5.055,nonavian vertebrate,2,2,4
Rosenburg 1994,Ensatina eschscholtzii,Interpatch movement,5,5,-0.888,nonavian vertebrate,2,1,4
St Clair et al. 1998,Poecile atricapillus,Proportion moved,32,27,0.794,bird,2,1,1
St Clair et al. 1998,Sitta carolinensis,Proportion moved,4,3,-0.544,bird,2,2,1
St Clair et al. 1998,Picoides villosus,Proportion moved,3,2,0.118,bird,2,3,1
Tewksbury et al. 2002,Junonia coenia,Proportion individuals moved,8,8,0.904,invertebrate,2,1,2
Tewksbury et al. 2002,Euptoieta claudia,Proportion individuals moved,8,8,0.896,invertebrate,2,2,2
Tewksbury et al. 2002,Illex verticillata,Fruits per flower,8,8,1.087,plant,1,3,5
Tewksbury et al. 2002,Illex vomitoria,Seeds per patch,8,8,0.846,plant,1,4,5
Townsend & Levey 2005,Lanatana camara,Pollen transfer,8,8,1.4,plant,1,1,5
Townsend & Levey 2005,Rudbeckia hirta,Pollen transfer,8,8,1.278,plant,1,2,5
